Date submitted,What is your current position?,What is your current position? [Other],Have you ever reproduced Machine Learning (ML) experiments from the publications of other scientists?,Have you ever been unable to reproduce published results of others?,Have you faced any kind of challenges/problems in repeating or reproducing ML experiments?,What are the kind of challenges/problems you have faced while repeating or reproducing ML experiments?,Are code and dataset provided in the publications sufficient for reproducing ML Experiments?,Are code and dataset provided in the publications sufficient for reproducing ML Experiments? [Comment],How important is it to describe the research method and the associated variables for the reproducibility of ML experiments? [Problem],How important is it to describe the research method and the associated variables for the reproducibility of ML experiments? [Objective/Goal],How important is it to describe the research method and the associated variables for the reproducibility of ML experiments? [Research method],How important is it to describe the research method and the associated variables for the reproducibility of ML experiments? [Research questions],How important is it to describe the research method and the associated variables for the reproducibility of ML experiments? [Pseudo code],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Data collection process],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Explanation of any data that were excluded],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Pre-processing step],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Sample allocation for training / validation / testing],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Range of hyper-parameters considered],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Method to select the best hyperparameter configuration],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Specification of all hyper-parameters],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Exact number of evaluation runs],How important is it to describe the data processing step and the associated variables for the reproducibility of ML experiments? [Error bars],How important is it to describe the data and the associated variables for the reproducibility of ML experiments? [Training data],How important is it to describe the data and the associated variables for the reproducibility of ML experiments? [Validation data],How important is it to describe the data and the associated variables for the reproducibility of ML experiments? [Test data],How important is it to describe the data and the associated variables for the reproducibility of ML experiments? [Results],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Hypothesis],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Prediction],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Method source code],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Hardware specifications],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Software dependencies],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Experiment setup],How important is it to describe the experiment and the associated variables for the reproducibility of ML experiments? [Experiment source code],Which are the other variables from your experience that are a must for the reproducibility of ML experiments?,"Which are the tools do you use in performing ML experiments? (For e.g. Script, TensorFlow)","Do the tools that you use provide provenance support (Clear description of how the experiments are conducted with input, output and the executions and how the results are originated)?","Do the tools that you use provide provenance support (Clear description of how the experiments are conducted with input, output and the executions and how the results are originated)? [Comment]","If ML experiments are properly described with all the entities of the experiments and their relationships between each other, will that benefit you and how?","If ML experiments are properly described with all the entities of the experiments and their relationships between each other, will that benefit you and how? [Comment]",Do you use docker or containerization technologies for the management and reproducibility of ML Experiments?,Do you use docker or containerization technologies for the management and reproducibility of ML Experiments? [Comment]
2019-11-27 11:54:05,PhD Student,,Yes,Yes,Yes,,No,,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Script,No,,Yes,,No,
2019-11-28 07:50:51,Professor,,Yes,Yes,Yes,"Relevant details are missing, in most cases related to implementation of specific parts, parameters, etc.
Selection of training and evaluation data unclear, sometimes not publicly available 
Suspicion that optimization has not been done on training data only
No reference implementation available",No,"Not necessarily, since stochastic optimization might find a solution by chance, some preprocessing is not explained, some post-processing to generate the results is hidden",Average Importance,Average Importance,Very Important,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Average Importance,Not Important At All,Very Important,Not Important At All,Average Importance,Very Important,Very Important,,,No,,Yes,,No,
2019-11-28 08:22:47,PostDoc,,Yes,Yes,Yes,"Documentation of experiments incomplete, missing parameter configurations, lack of a clear experimental protocol, e.g., also w.r.t. splits in train and test data",No,"Code often not complete. Some authors just provide code for training and testing their method, but not the whole experimental protocol with train-test-splits, parameter settings, tuning strategies...",Very Important,Very Important,Very Important,Very Important,Average Importance,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Average Importance,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,Average Importance,Very Important,Very Important,Very Important,"the random seed, when randomization is involved in the algorithms",jupyter notebooks,No,"The origin of the data is probably not tracked, whether the data has been pre-processed already",Yes,"Easy comparison to other methods (reproducibility), would allow for including more competing methods (baselines) if it can be done very easy and fast",No,But I plan to do so
2019-11-28 09:06:42,PhD Student,,Yes,Yes,Yes,No resources provided (data they worked with).,Yes,,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,TensorFlow,Yes,,Yes,It will be easier to reproduce the results.,No,
2019-11-28 09:30:18,PhD Student,,Yes,Yes,Yes,"- Insufficient description of hyper-parameters that need to be set or tuned appropriately to reproduce the exact results.
- Reproducing training of large neural networks is sometimes not possible due to hardware requirements.",Yes,"Often, however, neither code nor dataset are provided at all.",Not Important At All,Average Importance,Very Important,Not Important At All,Very Important,Very Important,Very Important,Very Important,Very Important,Average Importance,Average Importance,Very Important,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Very Important,Not Important At All,Not Important At All,Very Important,Average Importance,Average Importance,Very Important,Very Important,,"Keras, Tensorflow, scikit-learn",No,,Yes,,No,
2019-11-28 10:16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-28 10:16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
2019-11-28 10:28:22,PhD Student,,Yes,Yes,Yes,Often certain (hyper-)parameters are missing from the paper. Also sometimes researchers use tweaks in their code which are not mentioned in the paper. ,No,"Not always. If the experiment uses random values, the seed must also be provided.",Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Average Importance,Average Importance,Average Importance,Average Importance,Very Important,Average Importance,Average Importance,Very Important,Very Important,Average Importance,Very Important,Very Important,"Like mentioned above: random seeds, when randomness is used.","I work with C++, Python, R, Tensorflow/Keras, NLTK",No,"I use programming languages, not tools and document the work myself.",Yes,This will benefit by being reproducible easier. So you also can find discrepancies between the code and the paper.,Yes,I use Anaconda if that counts. When performing experiments I can dump the current library versions used into a file.
2019-11-28 12:59:53,PhD Student,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-30 14:09:47,PhD Student,,Yes,Yes,Yes,"Outdated Code, required packages not mentioned
Hyperparameters not stated in the paper (learning rate (schedule), optimizer, batch size etc.
Paper used batch norm or other regulaization techniques but do not mention them in the paper
No code available at all
",Yes,"If and only if the code is well documented, tested and examples are provided how to use the code to reproduce the work",Very Important,Very Important,Very Important,Average Importance,Average Importance,Very Important,Average Importance,Very Important,Very Important,Average Importance,Very Important,Very Important,Average Importance,Very Important,Very Important,Very Important,Very Important,Very Important,Average Importance,Average Importance,Very Important,Average Importance,Average Importance,Very Important,Very Important,,"Tensorflow
Sacred
Unit test
Format/type checker (pylint, mypy)",Yes,,Yes,It will make them easier to reproduce and also to reuse the existing source code to extend for future research ,No,
